product_id,product_category_name,product_name_lenght,product_description_lenght,product_photos_qty,product_weight_g,product_length_cm,product_height_cm,product_width_cm,inserted_at
9d09d82a6838777302175f209dcfc4ec,,,,,400.0,16.0,15.0,11.0,2024-01-23 12:52:53.013785
162c1a60e671a6632c2a03243557d549,esporte_lazer,56.0,898.0,6.0,1800.0,72.0,22.0,11.0,2024-01-23 12:52:53.013785
885d15f0bcf8b27f592327ee58f0fcf1,esporte_lazer,59.0,417.0,1.0,5200.0,20.0,22.0,22.0,2024-01-23 12:52:53.013785
717782a9317932b317d99e416c04ee79,moveis_decoracao,42.0,199.0,2.0,6100.0,35.0,15.0,30.0,2024-01-23 12:52:53.013785
368645a47a15770520ad12d9ea77c2f2,moveis_decoracao,61.0,603.0,2.0,30000.0,70.0,60.0,60.0,2024-01-23 12:52:53.013785
d1b571cd58267d8cac8b2afd6e288bbc,ferramentas_jardim,63.0,842.0,1.0,2400.0,40.0,15.0,30.0,2024-01-23 12:52:53.013785
dd44ecaddb22d00c140856b180f5d9b4,cama_mesa_banho,53.0,729.0,1.0,2400.0,20.0,30.0,30.0,2024-01-23 12:52:53.013785
d5365b4fc46af0e0679ce35e818b4b0a,esporte_lazer,59.0,355.0,2.0,15450.0,16.0,105.0,55.0,2024-01-23 12:52:53.013785
03d7ad0ce97624c931b3abde02b5d819,perfumaria,48.0,259.0,1.0,249.0,19.0,13.0,15.0,2024-01-23 12:52:53.013785
9ecf1e9d0607fc9074feb78fa8d8cc95,construcao_ferramentas_iluminacao,55.0,325.0,1.0,1450.0,20.0,20.0,20.0,2024-01-23 12:52:53.013785
237428d1c44f69d9f7eb073c1baf34e5,livros_tecnicos,46.0,1111.0,1.0,1300.0,27.0,2.0,19.0,2024-01-23 12:52:53.013785
9ae64e1163bf254bad20d5155cffb99d,papelaria,59.0,314.0,3.0,8000.0,30.0,55.0,35.0,2024-01-23 12:52:53.013785
d5536c1422144c4fc6fe001224b21ba8,moveis_decoracao,25.0,175.0,2.0,3000.0,70.0,55.0,70.0,2024-01-23 12:52:53.013785
91894be08b341b3d6228779d2a80ab94,papelaria,38.0,251.0,1.0,50.0,16.0,6.0,11.0,2024-01-23 12:52:53.013785
637641add87a760737226d3771e1782c,telefonia_fixa,31.0,338.0,3.0,200.0,19.0,3.0,11.0,2024-01-23 12:52:53.013785
